date,data_datetime,precipitation,cloudrate,dswrf,visibility,precipitation_probability,apparent_temperature,pressure,wind_speed,humidity,precipitation_diff,cloudrate_diff,dswrf_diff,visibility_diff,precipitation_probability_diff,apparent_temperature_diff,pressure_diff,wind_speed_diff,humidity_diff,minute_of_day,distance_max
2025-06-22,2025-06-22 05:00:00,0.9098,1.0,0.0,11.68,70,25.2,100406.7,8.5,0.97,0.3450000000000001,0.0,0.0,-3.8000000000000007,10.0,-0.10000000000000142,11.0,0.5199999999999996,0.010000000000000009,5.0,540
2025-06-23,2025-06-23 05:00:00,0.491,1.0,0.0,13.12,60,26.0,100257.25,5.24,0.97,0.015500000000000014,0.010000000000000009,0.0,-4.270000000000001,0.0,0.3000000000000007,56.44000000000233,-0.8499999999999996,0.0,5.0,360
2025-06-24,2025-06-24 05:00:00,0.0,0.79,0.0,0.51,0,25.1,100445.42,6.59,0.98,0.0,-0.09999999999999998,0.0,0.19,0.0,-0.6999999999999993,114.30000000000291,1.7800000000000002,-0.010000000000000009,5.0,660
2025-06-25,2025-06-25 05:00:00,0.0,0.8,0.0,0.52,0,25.8,100800.21,4.25,0.96,0.0,0.20000000000000007,0.0,-2.45,0.0,-0.3999999999999986,113.06000000001222,2.8600000000000003,0.010000000000000009,5.0,480
2025-06-26,2025-06-26 05:00:00,0.0,0.88,0.0,0.05,0,29.7,100555.28,4.28,0.91,0.0,-0.06999999999999995,0.0,0.0,0.0,-0.8000000000000007,49.69000000000233,2.7,-0.010000000000000009,5.0,420
2025-06-27,2025-06-27 05:00:00,0.0,1.0,0.0,8.64,0,29.4,100405.7,4.52,0.89,0.0,0.0,0.0,-0.3099999999999987,0.0,-0.3000000000000007,77.48999999999069,-1.8500000000000005,-0.020000000000000018,5.0,420
2025-06-28,2025-06-28 05:00:00,0.0,0.28,0.0,9.11,0,27.6,100319.66,5.68,0.87,0.0,-0.22999999999999998,0.0,-0.5899999999999999,0.0,-0.09999999999999787,77.47000000000116,-0.07000000000000028,0.050000000000000044,5.0,420
2025-06-29,2025-06-29 05:00:00,0.0,0.0,0.0,10.49,0,26.9,100179.19,6.99,0.94,0.0,0.0,0.0,0.45000000000000107,0.0,0.09999999999999787,51.60000000000582,-0.7000000000000002,0.0,5.0,420
2025-06-30,2025-06-30 05:00:00,0.0,0.39,0.0,10.67,0,31.9,100318.03,7.19,0.75,0.0,0.33,0.0,-0.2400000000000002,0.0,-0.30000000000000426,64.94000000000233,1.1900000000000004,0.0,5.0,420
2025-07-01,2025-07-01 05:00:00,0.0,1.0,0.0,11.11,0,31.4,100585.59,9.25,0.74,0.0,0.0,0.0,-0.3800000000000008,0.0,-0.10000000000000142,89.92999999999302,0.15000000000000036,-0.020000000000000018,5.0,420
