,data_datetime,precipitation,cloudrate,dswrf,visibility,precipitation_probability,apparent_temperature,pressure,wind_speed,humidity,precipitation_diff,cloudrate_diff,dswrf_diff,visibility_diff,precipitation_probability_diff,apparent_temperature_diff,pressure_diff,wind_speed_diff,humidity_diff,minute_of_day,distance_max
0,2025-06-22 00:00:00,0.0584,1.0,0.0,24.14,0,27.0,100434.58,6.68,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,840
1,2025-06-22 01:00:00,0.0515,1.0,0.0,24.14,0,26.8,100353.14,6.95,0.96,-0.006900000000000003,0.0,0.0,0.0,0.0,-0.1999999999999993,-81.44000000000233,0.27000000000000046,0.0,1.0,780
2,2025-06-22 02:00:00,0.0,1.0,0.0,24.14,0,26.1,100375.59,7.45,0.96,-0.0515,0.0,0.0,0.0,0.0,-0.6999999999999993,22.44999999999709,0.5,0.0,2.0,720
3,2025-06-22 03:00:00,0.0772,1.0,0.0,24.13,60,25.8,100383.92,7.52,0.95,0.0772,0.0,0.0,-0.010000000000001563,60.0,-0.3000000000000007,8.330000000001746,0.0699999999999994,-0.010000000000000009,3.0,660
4,2025-06-22 04:00:00,0.5648,1.0,0.0,15.48,60,25.3,100395.7,7.98,0.96,0.4876,0.0,0.0,-8.649999999999999,0.0,-0.5,11.779999999998836,0.46000000000000085,0.010000000000000009,4.0,600
5,2025-06-22 05:00:00,0.9098,1.0,0.0,11.68,70,25.2,100406.7,8.5,0.97,0.3450000000000001,0.0,0.0,-3.8000000000000007,10.0,-0.10000000000000142,11.0,0.5199999999999996,0.010000000000000009,5.0,540
6,2025-06-22 06:00:00,1.0574,1.0,4.28,10.37,70,24.6,100427.97,10.71,0.97,0.14759999999999984,0.0,4.28,-1.3100000000000005,0.0,-0.5999999999999979,21.270000000004075,2.210000000000001,0.0,6.0,480
7,2025-06-22 07:00:00,0.7313,1.0,10.88,19.9,60,25.1,100494.0,8.66,0.96,-0.32609999999999995,0.0,6.6000000000000005,9.53,-10.0,0.5,66.02999999999884,-2.0500000000000007,-0.010000000000000009,7.0,420
8,2025-06-22 08:00:00,2.9526,1.0,17.36,4.19,80,26.4,100510.77,2.37,0.97,2.2213,0.0,6.479999999999999,-15.709999999999997,20.0,1.2999999999999972,16.770000000004075,-6.29,0.010000000000000009,8.0,360
9,2025-06-22 09:00:00,0.9132,1.0,26.3,11.7,70,25.7,100445.23,8.35,0.98,-2.0393999999999997,0.0,8.940000000000001,7.509999999999999,-10.0,-0.6999999999999993,-65.54000000000815,5.9799999999999995,0.010000000000000009,9.0,300
